client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
601beed8819e7b3d824f44b7137fa43703765b5379c12268bcc32aea314a99ee1ba372748da3d674096657c94a4b435f930fe03847bb74bcfb3fc36a1246babf	common_voice_cy_23888440.mp3	pump	2	0				cy	Benchmark
601beed8819e7b3d824f44b7137fa43703765b5379c12268bcc32aea314a99ee1ba372748da3d674096657c94a4b435f930fe03847bb74bcfb3fc36a1246babf	common_voice_cy_23888441.mp3	saith	2	0				cy	Benchmark
601beed8819e7b3d824f44b7137fa43703765b5379c12268bcc32aea314a99ee1ba372748da3d674096657c94a4b435f930fe03847bb74bcfb3fc36a1246babf	common_voice_cy_23888442.mp3	naw	2	0				cy	Benchmark
601beed8819e7b3d824f44b7137fa43703765b5379c12268bcc32aea314a99ee1ba372748da3d674096657c94a4b435f930fe03847bb74bcfb3fc36a1246babf	common_voice_cy_23888443.mp3	un	2	0				cy	Benchmark
601beed8819e7b3d824f44b7137fa43703765b5379c12268bcc32aea314a99ee1ba372748da3d674096657c94a4b435f930fe03847bb74bcfb3fc36a1246babf	common_voice_cy_23888444.mp3	wyth	2	0				cy	Benchmark
601beed8819e7b3d824f44b7137fa43703765b5379c12268bcc32aea314a99ee1ba372748da3d674096657c94a4b435f930fe03847bb74bcfb3fc36a1246babf	common_voice_cy_23888445.mp3	pedwar	2	0				cy	Benchmark
601beed8819e7b3d824f44b7137fa43703765b5379c12268bcc32aea314a99ee1ba372748da3d674096657c94a4b435f930fe03847bb74bcfb3fc36a1246babf	common_voice_cy_23888446.mp3	tri	2	0				cy	Benchmark
601beed8819e7b3d824f44b7137fa43703765b5379c12268bcc32aea314a99ee1ba372748da3d674096657c94a4b435f930fe03847bb74bcfb3fc36a1246babf	common_voice_cy_23888447.mp3	sero	2	1				cy	Benchmark
601beed8819e7b3d824f44b7137fa43703765b5379c12268bcc32aea314a99ee1ba372748da3d674096657c94a4b435f930fe03847bb74bcfb3fc36a1246babf	common_voice_cy_23888448.mp3	chwech	2	0				cy	Benchmark
601beed8819e7b3d824f44b7137fa43703765b5379c12268bcc32aea314a99ee1ba372748da3d674096657c94a4b435f930fe03847bb74bcfb3fc36a1246babf	common_voice_cy_23888449.mp3	dau	2	0				cy	Benchmark
60522ace54899948a3d6935660ca4c44e7032a2d2972d9b3e4ba068ebc30b73c64e4e89455bf591b5316ffc80ad781dc70ce8b8403a6a6839aec55593df071b4	common_voice_cy_22287416.mp3	naw	2	0				cy	Benchmark
60522ace54899948a3d6935660ca4c44e7032a2d2972d9b3e4ba068ebc30b73c64e4e89455bf591b5316ffc80ad781dc70ce8b8403a6a6839aec55593df071b4	common_voice_cy_22287417.mp3	tri	2	0				cy	Benchmark
60522ace54899948a3d6935660ca4c44e7032a2d2972d9b3e4ba068ebc30b73c64e4e89455bf591b5316ffc80ad781dc70ce8b8403a6a6839aec55593df071b4	common_voice_cy_22287418.mp3	sero	2	0				cy	Benchmark
60522ace54899948a3d6935660ca4c44e7032a2d2972d9b3e4ba068ebc30b73c64e4e89455bf591b5316ffc80ad781dc70ce8b8403a6a6839aec55593df071b4	common_voice_cy_22287419.mp3	chwech	2	0				cy	Benchmark
60522ace54899948a3d6935660ca4c44e7032a2d2972d9b3e4ba068ebc30b73c64e4e89455bf591b5316ffc80ad781dc70ce8b8403a6a6839aec55593df071b4	common_voice_cy_22287421.mp3	wyth	2	0				cy	Benchmark
60522ace54899948a3d6935660ca4c44e7032a2d2972d9b3e4ba068ebc30b73c64e4e89455bf591b5316ffc80ad781dc70ce8b8403a6a6839aec55593df071b4	common_voice_cy_22287426.mp3	pump	2	0				cy	Benchmark
60522ace54899948a3d6935660ca4c44e7032a2d2972d9b3e4ba068ebc30b73c64e4e89455bf591b5316ffc80ad781dc70ce8b8403a6a6839aec55593df071b4	common_voice_cy_22287427.mp3	un	2	0				cy	Benchmark
60522ace54899948a3d6935660ca4c44e7032a2d2972d9b3e4ba068ebc30b73c64e4e89455bf591b5316ffc80ad781dc70ce8b8403a6a6839aec55593df071b4	common_voice_cy_22287428.mp3	dau	2	0				cy	Benchmark
60522ace54899948a3d6935660ca4c44e7032a2d2972d9b3e4ba068ebc30b73c64e4e89455bf591b5316ffc80ad781dc70ce8b8403a6a6839aec55593df071b4	common_voice_cy_22287429.mp3	saith	2	0				cy	Benchmark
60522ace54899948a3d6935660ca4c44e7032a2d2972d9b3e4ba068ebc30b73c64e4e89455bf591b5316ffc80ad781dc70ce8b8403a6a6839aec55593df071b4	common_voice_cy_22287430.mp3	pedwar	2	0				cy	Benchmark
